Date,Open,High,Low,Close,Volume
11/2024,"144.44","150.71","133.65","134.90","360,484,459"
10/2024,"164.48","174.05","143.33","144.07","900,872,259"
09/2024,"146.41","168.73","132.11","164.08","659,920,689"
08/2024,"145.00","162.04","121.83","148.56","1,101,975,004"
07/2024,"161.25","187.28","134.05","144.48","1,243,473,190"
06/2024,"170.82","171.08","153.34","162.21","959,732,837"
05/2024,"148.11","174.55","141.16","166.90","1,119,524,092"
04/2024,"180.10","187.24","145.29","158.38","1,243,158,606"
03/2024,"197.91","227.30","172.00","180.49","1,528,117,830"
02/2024,"169.27","193.00","161.81","192.53","1,271,828,249"
01/2024,"144.28","184.92","133.74","167.69","1,956,509,983"
12/2023,"119.88","151.05","116.37","147.41","1,280,195,391"
11/2023,"120.54","125.73","116.41","121.16","455,050,944"
