Date,Open,High,Low,Close,Volume
11/2021,"25.65","32.31","25.23","30.03","5,720,841,753"
10/2021,"20.75","25.71","19.56","25.57","4,971,075,990"
09/2021,"22.49","22.99","20.47","20.72","4,999,561,700"
08/2021,"19.70","23.04","18.76","22.39","6,416,872,156"
07/2021,"20.13","20.88","17.87","19.50","7,823,702,102"
06/2021,"16.27","20.16","15.90","20.00","10,273,280,857"
05/2021,"15.13","16.28","13.46","16.24","7,054,207,889"
04/2021,"13.57","16.21","13.51","15.01","6,719,065,733"
03/2021,"13.88","13.93","11.57","13.35","7,649,473,684"
02/2021,"13.05","15.37","12.90","13.71","6,681,478,013"
01/2021,"13.10","14.00","12.59","12.99","6,155,420,058"
12/2020,"13.49","13.73","12.76","13.06","5,122,831,749"
11/2020,"13.17","13.65","12.89","13.40","3,565,749,924"
