Date,Open,High,Low,Close,Volume
11/2020,"12.66","14.69","12.40","13.30","4,030,346,600"
10/2020,"13.76","14.35","12.30","12.53","8,023,724,120"
09/2020,"13.48","14.73","11.70","13.53","15,860,470,721"
08/2020,"10.73","13.58","10.72","13.37","9,673,942,543"
07/2020,"9.52","10.79","9.41","10.61","8,095,281,839"
06/2020,"8.83","9.64","8.66","9.50","9,720,095,743"
05/2020,"7.11","9.18","7.02","8.88","12,553,410,994"
04/2020,"6.39","7.61","5.96","7.31","11,270,417,607"
03/2020,"6.92","7.12","4.52","6.59","15,777,535,522"
02/2020,"5.89","7.91","5.89","6.75","11,855,193,681"
01/2020,"5.97","6.49","5.78","5.91","6,132,787,699"
12/2019,"5.41","6.05","5.01","5.88","6,572,843,654"
11/2019,"5.24","5.54","5.02","5.42","4,281,434,917"
