Date,Stock Price,Marketshare Percentage
2019-11-01,5.24,0.6919
2019-12-01,5.41,0.6935
2020-01-01,5.97,0.6920999999999999
2020-02-01,5.89,0.6861
2020-03-01,6.92,0.6804
2020-04-01,6.39,0.668
2020-05-01,7.11,0.6621
2020-06-01,8.83,0.6744
2020-07-01,9.52,0.6785
2020-08-01,10.73,0.6786
2020-09-01,13.48,0.6776
2020-10-01,13.76,0.6766
2020-11-01,12.66,0.6822
2020-12-01,13.49,0.7219
2021-01-01,13.1,0.6856
2021-02-01,13.05,0.6914
2021-03-01,13.88,0.6960999999999999
2021-04-01,13.57,0.7009
2021-05-01,15.13,0.6965
2021-06-01,16.27,0.706
2021-07-01,20.13,0.6916
2021-08-01,19.7,0.7142000000000001
2021-09-01,22.49,0.7033
2021-10-01,20.75,0.6952
2021-11-01,25.65,0.6988
2021-12-01,33.22,0.7064
2022-01-01,29.82,0.6973
2022-02-01,25.1,0.7067
2022-03-01,24.29,0.7168
2022-04-01,27.38,0.7073
2022-05-01,18.54,0.7214
2022-06-01,18.72,0.7061999999999999
2022-07-01,14.9,0.7394999999999999
2022-08-01,18.18,0.7085
2022-09-01,14.21,0.7218
2022-10-01,12.35,0.7357
2022-11-01,13.81,0.7057
2022-12-01,17.0,0.7031000000000001
2023-01-01,14.85,0.6936
2023-02-01,19.69,0.7105
2023-03-01,23.19,0.803
2023-04-01,27.51,0.71
2023-05-01,27.84,0.7104
2023-06-01,38.49,0.7078
2023-07-01,42.52,0.6882
2023-08-01,46.46,0.7029
2023-09-01,49.76,0.7237
2023-10-01,44.03,0.7699
2023-11-01,40.88,0.7015
2023-12-01,46.53,0.6897
2024-01-01,49.24,0.6958
2024-02-01,62.1,0.7226
2024-03-01,80.0,0.7246
2024-04-01,90.3,0.7208
2024-05-01,85.08,0.7608
2024-06-01,113.62,0.7172
2024-07-01,123.47,0.7162
2024-08-01,117.53,0.7215
2024-09-01,116.01,0.7336
2024-10-01,121.77,0.9506
