date,category,name,change,percentage
2019-11-01,Video Card Description,NVIDIA GeForce 210,-0.0001,0.0018
2019-11-01,Video Card Description,NVIDIA GeForce 840M,-0.0002,0.0031
2019-11-01,Video Card Description,NVIDIA GeForce 920M,0.0,0.0036
2019-11-01,Video Card Description,NVIDIA GeForce 920MX,0.0,0.0025
2019-11-01,Video Card Description,NVIDIA GeForce 940M,0.0,0.009
2019-11-01,Video Card Description,NVIDIA GeForce 940MX,0.0,0.0021
2019-11-01,Video Card Description,NVIDIA GeForce GT 1030,-0.0004,0.0061
2019-11-01,Video Card Description,NVIDIA GeForce GT 630,-0.0002,0.0035
2019-11-01,Video Card Description,NVIDIA GeForce GT 640,0.0,0.0017
2019-11-01,Video Card Description,NVIDIA GeForce GT 710,-0.0001,0.003
2019-11-01,Video Card Description,NVIDIA GeForce GT 720M,-0.0001,0.0054
2019-11-01,Video Card Description,NVIDIA GeForce GT 730,-0.0017,0.0082
2019-11-01,Video Card Description,NVIDIA GeForce GT 740,-0.0002,0.0016
2019-11-01,Video Card Description,NVIDIA GeForce GT 740M,0.0,0.0022
2019-11-01,Video Card Description,NVIDIA GeForce GTS 450,-0.0001,0.0022
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1050,-0.0021,0.0518
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,-0.0056,0.091
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1060,0.002,0.1464
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1070,-0.0007,0.0428
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,0.0004,0.0125
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1080,0.0006,0.0264
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.0004,0.016
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1650,0.0017,0.0117
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1660,0.0019,0.0104
2019-11-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0021,0.0156
2019-11-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,-0.0001,0.0028
2019-11-01,Video Card Description,NVIDIA GeForce GTX 650,-0.0002,0.005
2019-11-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,0.0001,0.002
2019-11-01,Video Card Description,NVIDIA GeForce GTX 660,-0.0003,0.0048
2019-11-01,Video Card Description,NVIDIA GeForce GTX 750,-0.0006,0.0057
2019-11-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0042,0.021
2019-11-01,Video Card Description,NVIDIA GeForce GTX 760,0.0,0.0058
2019-11-01,Video Card Description,NVIDIA GeForce GTX 770,0.0,0.003
2019-11-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0001,0.0019
2019-11-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0,0.0025
2019-11-01,Video Card Description,NVIDIA GeForce GTX 950,0.001,0.0084
2019-11-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0,0.0071
2019-11-01,Video Card Description,NVIDIA GeForce GTX 960,0.0027,0.0253
2019-11-01,Video Card Description,NVIDIA GeForce GTX 960M,0.0001,0.0122
2019-11-01,Video Card Description,NVIDIA GeForce GTX 965M,0.0001,0.0016
2019-11-01,Video Card Description,NVIDIA GeForce GTX 970,-0.0004,0.0236
2019-11-01,Video Card Description,NVIDIA GeForce GTX 970M,0.0001,0.0031
2019-11-01,Video Card Description,NVIDIA GeForce GTX 980,-0.0002,0.0045
2019-11-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,-0.0001,0.0042
2019-11-01,Video Card Description,NVIDIA GeForce MX130,0.0,0.0019
2019-11-01,Video Card Description,NVIDIA GeForce MX150,0.0002,0.0056
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2060,0.0041,0.0195
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.001,0.0025
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2070,0.0019,0.016
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0017,0.0042
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2080,0.0007,0.0095
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.0016,0.0016
2019-11-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0006,0.006
2019-12-01,Video Card Description,NVIDIA GeForce 210,0.0,0.0018
2019-12-01,Video Card Description,NVIDIA GeForce 840M,0.0,0.003
2019-12-01,Video Card Description,NVIDIA GeForce 920M,0.0,0.0034
2019-12-01,Video Card Description,NVIDIA GeForce 920MX,0.0,0.0025
2019-12-01,Video Card Description,NVIDIA GeForce 940M,0.0,0.0085
2019-12-01,Video Card Description,NVIDIA GeForce 940MX,0.0,0.002
2019-12-01,Video Card Description,NVIDIA GeForce GT 1030,0.0,0.0055
2019-12-01,Video Card Description,NVIDIA GeForce GT 630,0.0,0.0033
2019-12-01,Video Card Description,NVIDIA GeForce GT 640,0.0,0.0016
2019-12-01,Video Card Description,NVIDIA GeForce GT 710,0.0,0.0029
2019-12-01,Video Card Description,NVIDIA GeForce GT 720M,0.0,0.0051
2019-12-01,Video Card Description,NVIDIA GeForce GT 730,0.0,0.0077
2019-12-01,Video Card Description,NVIDIA GeForce GT 740M,0.0,0.0021
2019-12-01,Video Card Description,NVIDIA GeForce GTS 450,0.0,0.002
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1050,0.0,0.0483
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,0.0,0.0864
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1060,0.0,0.1579
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1070,0.0,0.0421
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,0.0,0.0123
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1080,0.0,0.0268
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.0,0.0153
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1650,0.0,0.0108
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1660,0.0,0.0136
2019-12-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0,0.0147
2019-12-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,0.0,0.0026
2019-12-01,Video Card Description,NVIDIA GeForce GTX 650,0.0,0.0044
2019-12-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,0.0,0.0018
2019-12-01,Video Card Description,NVIDIA GeForce GTX 660,0.0,0.0045
2019-12-01,Video Card Description,NVIDIA GeForce GTX 750,0.0,0.005
2019-12-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,0.0,0.02
2019-12-01,Video Card Description,NVIDIA GeForce GTX 760,0.0,0.0055
2019-12-01,Video Card Description,NVIDIA GeForce GTX 770,0.0,0.0029
2019-12-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0,0.0016
2019-12-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0,0.0022
2019-12-01,Video Card Description,NVIDIA GeForce GTX 950,0.0,0.0094
